Module	Section	Sample Name	Source
QualiMap	rna_genome_results	RAP1_UNINDUCED_REP2	/home/a25khatr@hs.local/hs-seminar1/work/81/22aa8467a53b18ef332d275492b524/22/RAP1_UNINDUCED_REP2/rnaseq_qc_results.txt
QualiMap	rna_genome_results	RAP1_IAA_30M_REP1	/home/a25khatr@hs.local/hs-seminar1/work/81/22aa8467a53b18ef332d275492b524/24/RAP1_IAA_30M_REP1/rnaseq_qc_results.txt
QualiMap	rna_genome_results	RAP1_UNINDUCED_REP1	/home/a25khatr@hs.local/hs-seminar1/work/81/22aa8467a53b18ef332d275492b524/23/RAP1_UNINDUCED_REP1/rnaseq_qc_results.txt
QualiMap	rna_coverage_histogram	RAP1_UNINDUCED_REP2	/home/a25khatr@hs.local/hs-seminar1/work/81/22aa8467a53b18ef332d275492b524/22/RAP1_UNINDUCED_REP2/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	RAP1_IAA_30M_REP1	/home/a25khatr@hs.local/hs-seminar1/work/81/22aa8467a53b18ef332d275492b524/24/RAP1_IAA_30M_REP1/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	RAP1_UNINDUCED_REP1	/home/a25khatr@hs.local/hs-seminar1/work/81/22aa8467a53b18ef332d275492b524/23/RAP1_UNINDUCED_REP1/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
Salmon	all_sections	RAP1_IAA_30M_REP1	/home/a25khatr@hs.local/hs-seminar1/work/81/22aa8467a53b18ef332d275492b524/15/RAP1_IAA_30M_REP1/libParams/flenDist.txt
Salmon	all_sections	RAP1_UNINDUCED_REP1	/home/a25khatr@hs.local/hs-seminar1/work/81/22aa8467a53b18ef332d275492b524/14/RAP1_UNINDUCED_REP1/libParams/flenDist.txt
Salmon	all_sections	RAP1_UNINDUCED_REP2	/home/a25khatr@hs.local/hs-seminar1/work/81/22aa8467a53b18ef332d275492b524/13/RAP1_UNINDUCED_REP2/libParams/flenDist.txt
STAR	SummaryLog	RAP1_IAA_30M_REP1	/home/a25khatr@hs.local/hs-seminar1/work/81/22aa8467a53b18ef332d275492b524/21/RAP1_IAA_30M_REP1.Log.final.out
STAR	SummaryLog	RAP1_UNINDUCED_REP1	/home/a25khatr@hs.local/hs-seminar1/work/81/22aa8467a53b18ef332d275492b524/20/RAP1_UNINDUCED_REP1.Log.final.out
STAR	SummaryLog	RAP1_UNINDUCED_REP2	/home/a25khatr@hs.local/hs-seminar1/work/81/22aa8467a53b18ef332d275492b524/19/RAP1_UNINDUCED_REP2.Log.final.out
Cutadapt	all_sections	RAP1_IAA_30M_REP1_1	/home/a25khatr@hs.local/hs-seminar1/work/81/22aa8467a53b18ef332d275492b524/11/RAP1_IAA_30M_REP1_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	RAP1_IAA_30M_REP1_2	/home/a25khatr@hs.local/hs-seminar1/work/81/22aa8467a53b18ef332d275492b524/12/RAP1_IAA_30M_REP1_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	RAP1_UNINDUCED_REP1	/home/a25khatr@hs.local/hs-seminar1/work/81/22aa8467a53b18ef332d275492b524/10/RAP1_UNINDUCED_REP1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	RAP1_UNINDUCED_REP2	/home/a25khatr@hs.local/hs-seminar1/work/81/22aa8467a53b18ef332d275492b524/9/RAP1_UNINDUCED_REP2.fastq.gz_trimming_report.txt
FastQC	all_sections	RAP1_IAA_30M_REP1_1	/home/a25khatr@hs.local/hs-seminar1/work/81/22aa8467a53b18ef332d275492b524/3/RAP1_IAA_30M_REP1_1_fastqc.zip
FastQC	all_sections	RAP1_IAA_30M_REP1_2	/home/a25khatr@hs.local/hs-seminar1/work/81/22aa8467a53b18ef332d275492b524/4/RAP1_IAA_30M_REP1_2_fastqc.zip
FastQC	all_sections	RAP1_UNINDUCED_REP1	/home/a25khatr@hs.local/hs-seminar1/work/81/22aa8467a53b18ef332d275492b524/2/RAP1_UNINDUCED_REP1_fastqc.zip
FastQC	all_sections	RAP1_UNINDUCED_REP2	/home/a25khatr@hs.local/hs-seminar1/work/81/22aa8467a53b18ef332d275492b524/1/RAP1_UNINDUCED_REP2_fastqc.zip
