#Transcript position	Transcript coverage profile
0.0	4.294845952071761
1.0	11.391843595793082
2.0	16.300480719792347
3.0	20.781671190874
4.0	24.99845045196365
5.0	29.853570800440153
6.0	32.95756894578267
7.0	34.401549262150844
8.0	35.012880441216126
9.0	37.06869015700073
10.0	36.7899637310248
11.0	37.31000951092974
12.0	38.48808773007714
13.0	37.689246162182684
14.0	35.91515886438845
15.0	33.960545047850864
16.0	30.95689395175189
17.0	29.6572275252965
18.0	29.831618730132682
19.0	29.085913714444494
20.0	28.07887602992968
21.0	26.82752370704248
22.0	26.38209226825381
23.0	25.25248971251497
24.0	25.041649768142232
25.0	25.658732445839163
26.0	26.91306211066444
27.0	27.455261004910046
28.0	28.888675525043737
29.0	30.639048756307496
30.0	32.279318218851486
31.0	32.983181631860994
32.0	33.68079060902453
33.0	34.64158667398795
34.0	34.54915452494871
35.0	33.77819711871781
36.0	32.78060471169153
37.0	32.96311169755495
38.0	31.399690756803817
39.0	31.123890990938328
40.0	30.409206495527517
41.0	29.13890559985539
42.0	29.09216095768784
43.0	29.352950193385976
44.0	29.357035376979244
45.0	30.071449367380595
46.0	31.581851436764218
47.0	32.4726798063254
48.0	31.871350703317496
49.0	32.02977805240746
50.0	33.47717740291606
51.0	33.85692424749649
52.0	34.352770193120314
53.0	36.003269768176736
54.0	37.98606178277261
55.0	39.328874038171406
56.0	41.1738585346823
57.0	42.26262896918543
58.0	41.40375213187568
59.0	40.17706145336053
60.0	39.71553478627892
61.0	36.54792627731636
62.0	34.624700814085585
63.0	33.54732635352633
64.0	32.464352421020564
65.0	33.45719943292061
66.0	34.82881088100752
67.0	34.03127828260338
68.0	34.248773993662766
69.0	34.36279380885565
70.0	34.45025006987248
71.0	36.11105051741985
72.0	37.754112608273374
73.0	39.30558281657176
74.0	41.39147993164312
75.0	41.87500901359425
76.0	40.12576267974364
77.0	38.309658569826034
78.0	36.88362115601893
79.0	38.118518414136986
80.0	39.402642656198644
81.0	36.86668275980371
82.0	36.042953325221596
83.0	35.9402288681813
84.0	34.408055341082765
85.0	32.824030793442994
86.0	30.966525119704155
87.0	30.747160055576337
88.0	28.94509397493584
89.0	26.090200164896597
90.0	23.56558140587022
91.0	20.700736004690892
92.0	15.936693530813063
93.0	10.569327481162382
94.0	7.227764245479824
95.0	4.7731754716039285
96.0	2.8357117064499593
97.0	1.2179656520753797
98.0	0.4451549682584961
99.0	0.07582463895246902
