I	12536	12583	1	1	0	0	1	19
I	12728	24940	1	1	0	0	1	49
I	26161	26430	1	1	0	0	1	16
I	87388	87500	1	1	1	8	0	44
I	142254	142619	1	1	1	120	0	50
I	197654	197754	2	2	0	1	0	33
I	204941	205210	2	2	0	0	1	16
II	225111	263588	2	2	0	0	6	50
IV	1096114	1101520	2	2	0	0	1	32
V	424583	444651	2	2	0	0	1	20
V	445108	494207	2	2	0	0	1	16
V	449156	498074	1	1	0	0	1	32
VII	562927	569822	2	2	0	0	2	38
X	476541	482060	2	2	0	0	6	50
X	477979	483562	2	2	0	0	1	35
XII	215252	220658	1	1	0	0	1	32
XIII	185763	197929	2	2	0	0	3	48
XIII	185801	197889	2	2	0	0	1	45
XIII	358537	374234	1	1	0	0	12	46
XIII	358711	374408	2	2	0	0	1	16
XIII	358985	374682	1	1	0	0	23	46
XIII	361256	376953	1	1	0	0	2	27
XIII	361326	377023	1	1	0	0	3	48
XIII	372869	378275	1	1	0	0	1	32
XV	595162	600562	2	2	0	0	1	32
XVI	806584	818144	1	1	0	1	0	14
XVI	844759	850168	2	2	0	0	1	32
