ID	geneLength	allCountsMulti	filteredCountsMulti	dupRateMulti	dupsPerIdMulti	RPKMulti	PKMMulti	allCounts	filteredCounts	dupRate	dupsPerId	RPK	RPKM
YDL246C	1074	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL243C	990	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR387C	1668	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL094C	510	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR438W	1113	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR523C	1473	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR542W	363	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR492W	951	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR018C	1191	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL189W	1374	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR508C	1992	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR462W	444	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR175C	960	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR186C	2634	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR150W	8247	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR243C	1767	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL182W	1287	1	1	0	0	0.777000777000777	13.2709487267208	1	1	0	0	0.777000777000777	13.2709487267208
YDR362C	2019	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR232W	1647	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR158W	1098	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR439W	1044	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL206W	2289	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR125C	1362	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR338C	2088	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR526C	471	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR533C	714	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR272W	825	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR197W	1170	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR512C	564	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR489W	885	0	0	NA	0	0	0	0	0	NA	0	0	0
